NN,VE1sign_Dz(v)_cme,J_Dz(p)_cme,HATS5s_cbt,VE3sign_B(v)_cbt,R1s+_cbt,Wap_cme,Eig09_EA(dm)_cme,DLS_01_cbt,Active_2,Pred,%Prob(-1),%Prob(+1),stdVE1sign_Dz(v)_cme,stdJ_Dz(p)_cme,stdHATS5s_cbt,stdVE3sign_B(v)_cbt,stdR1s+_cbt,stdWap_cme,stdEig09_EA(dm)_cme,stdDLS_01_cbt,Outlier_info(standardization_approach),snew,Set
MD017,-0.13345930964978586,-0.15820456217807216,0.0,0.0,0.0,0.15182421031361773,0.11025641025641024,0.0,1,1,0.003637034088799007,0.996362965911201,0.9066668877322712,0.8434932564378934,0.009884643313936977,0.24011122149955402,0.17544371455214763,1.2543231953611096,0.7302929008419442,0.2180909733684585,In,NA,Sub_train
MD007,0.44477198286722097,0.33848417954378224,0.5148437499999999,0.4135135135135135,0.6753501400560226,-0.08078720651640517,0.11025641025641024,0.25,-1,-1,0.9927464119470963,0.007253588052903618,1.3622390711629047,1.14188567843952,2.2483300845352265,1.767018438734405,2.505910477057886,0.544201504332665,0.7302929008419442,0.4444638544405885,In,NA,Sub_train
MD110,-0.13345930964978586,0.18616629874908025,-0.32343749999999993,0.3310810810810811,-0.03921568627450985,-0.06770296193077895,0.11025641025641024,0.0,-1,-1,0.9678647472883637,0.032135252711636336,0.9066668877322712,0.5330361384104466,1.4285506483663706,1.3669043561387466,0.3311424233142402,0.4430356312866348,0.7302929008419442,0.2180909733684585,In,NA,Sub_train
MD133,0.4379692617787856,0.5305371596762326,0.2825,-0.16216216216216214,0.2857142857142857,-0.08144850407668952,0.11025641025641024,2.0,-1,-1,0.9987224325687862,0.0012775674312137841,1.3355460598817848,1.9095655332587864,1.2292207369444206,1.0272208921795378,0.9589325921430966,0.5493145809487098,0.7302929008419442,5.082347649103918,Outlier,3.478362359740996,Sub_train
MD131,0.4379692617787856,0.5305371596762326,0.2825,-0.16216216216216214,0.2857142857142857,-0.08144850407668952,0.11025641025641024,2.0,-1,-1,0.9987224325687862,0.0012775674312137841,1.3355460598817848,1.9095655332587864,1.2292207369444206,1.0272208921795378,0.9589325921430966,0.5493145809487098,0.7302929008419442,5.082347649103918,Outlier,3.478362359740996,Sub_train
MD065,-0.4013605442176871,-0.05739514348785873,-0.300703125,0.07280405405405405,-0.15770308123249302,0.011320784424867936,0.0,0.0,1,1,0.008106034850653976,0.991893965149346,1.9578772171846635,0.44053486521092206,1.3288328204750042,0.1132682243994804,0.8015749505025619,0.16796687933743856,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD048,-0.1302721088435374,-0.38883632923368017,-0.03621527777777779,-0.08813813813813805,-0.03809523809523813,0.17643444213140252,-0.006318681318681318,-0.3333333333333333,1,1,0.0004738469627697528,0.9995261530372302,0.8941607176320427,1.7653813798497542,0.16873259213515962,0.6679199036191374,0.32669388877818034,1.4446066749627124,0.08880926941943933,1.1014974104471877,In,NA,Sub_train
MD105,-0.1302721088435374,-0.04446546830652779,0.06328125,0.6986486486486486,0.07871148459383756,-0.043092730112994165,-0.006318681318681318,0.25,-1,-1,0.614276563072145,0.3857234369278551,0.8941607176320427,0.3888519850014142,0.2676804446311044,3.1510196096800436,0.1370658366060521,0.2527521516850322,0.08880926941943933,0.4444638544405885,In,2.0088627353799167,Sub_train
MD045,-0.06208616780045353,0.002119205298013012,0.020223214285714324,0.3407335907335907,0.031052420968387333,-0.056206986136369014,0.0,0.1428571428571428,1,1,0.10781072255574786,0.8921892774442521,0.626607767890953,0.2026423492807227,0.07881869696056319,1.4137561222506503,0.0521557574099195,0.3541500697132038,0.1235793955531022,0.1605117853795682,In,NA,Sub_train
MD135,0.4366213151927438,0.2005676442762538,0.05346875000000001,0.04225675675675678,-0.08700280112044813,-0.05655485901878288,-0.006318681318681318,0.1499999999999999,-1,-1,0.7299874245972047,0.27001257540279533,1.3302568891279334,0.5906016228714434,0.22464072235221902,0.03500355981486142,0.5208724212771894,0.35683978279737366,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD091,-0.1302721088435374,-0.07757805108798478,-0.10121874999999997,-0.3253108108108108,-0.08644257703081228,-0.035180777159592024,-0.006318681318681318,0.1499999999999999,1,1,0.00017708777891556338,0.9998229122210844,0.8941607176320427,0.5212105806599086,0.45385171484677095,1.8191188133561584,0.5186481540091595,0.19157784217163848,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD024,-0.06208616780045353,0.05509933774834405,0.038472222222222234,-0.0732732732732732,0.01904761904761907,-0.06204057532887745,0.0,0.16666666666666674,1,1,0.001537164628872989,0.998462835371127,0.626607767890953,0.009131403772867697,0.1588627462296054,0.5957681838068056,0.09981862743913127,0.39925470986188505,0.1235793955531022,0.22361224517090636,In,NA,Sub_train
MD052,-0.06208616780045353,0.1676821192052978,0.09565972222222226,0.3091591591591592,0.04369747899159662,-0.06602016957558868,0.0,0.16666666666666674,1,1,0.04547296212300389,0.9545270378769961,0.626607767890953,0.4591506290117484,0.40969934422438364,1.260498789546823,0.0019508676458162312,0.4300244744977264,0.1235793955531022,0.22361224517090636,In,NA,Sub_train
MD011,-0.042970521541950114,0.4720908230842006,-0.004843749999999987,-0.3013513513513514,-0.008683473389355751,-0.0024701656955264588,-0.006318681318681318,0.25,1,1,0.016422014784761685,0.9835779852152383,0.5516004061910065,1.675942107271095,0.031130366094915398,1.702823359513191,0.209919857206611,0.06133684044343697,0.08880926941943933,0.4444638544405885,In,NA,Sub_train
MD125,-0.1302721088435374,-0.13055818353831594,-0.26528125,0.20036486486486488,-0.2657142857142857,0.9428310789609532,0.3244505494505494,-0.8500000000000001,-1,-1,0.9979055988361669,0.0020944011638330735,0.8941607176320427,0.7329843337134995,1.173464905815397,0.7324283690981229,1.2304136797787246,7.370297253200401,1.908949785285965,2.4707773879192185,Outlier,4.916005646382551,Sub_train
MD035,-0.06208616780045353,-0.11708609271523215,-0.14578124999999995,-0.02162162162162164,-0.26904761904761915,0.017598545145367368,0.0,-0.375,1,1,0.0004905693917554022,0.9995094306082446,0.626607767890953,0.6791332936513024,0.6493123644317729,0.34505917759021865,1.243648070023503,0.21650580261322996,0.1235793955531022,1.2119232150820292,In,NA,Sub_train
MD076,-0.1302721088435374,-0.04446546830652779,0.021041666666666674,0.3173423423423423,0.037068160597572335,-0.043092730112994165,-0.006318681318681318,0.16666666666666674,1,1,0.03822904859684251,0.9617709514031575,0.8941607176320427,0.3888519850014142,0.08240860403568999,1.3002186757061367,0.02827136365083665,0.2527521516850322,0.08880926941943933,0.22361224517090636,In,NA,Sub_train
MD095,0.2939229024943311,-0.11046357615894074,0.015052083333333306,0.13175675675675674,0.07787114845938371,-0.0632923171394157,0.0,0.16666666666666674,-1,-1,0.7407118304139002,0.2592881695860998,0.7703264891543123,0.6526615745196035,0.05613701134953366,0.39941538592793285,0.133729435704007,0.4089330334565414,0.1235793955531022,0.22361224517090636,In,NA,Sub_train
MD129,-0.24399092970521544,0.08830022075055173,-0.540625,-0.03452702702702702,-0.35378151260504204,-0.0017398423907481323,0.0,0.0,-1,1,0.4710023395632805,0.5289976604367195,1.340378889548094,0.14184295568645192,2.3811814440295995,0.4076999888818339,1.5800684943130237,0.06698361617055285,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD061,-0.013718820861678005,0.4389782403027438,-0.20028125,-0.23071621621621616,-0.08756302521008405,-0.04657635118949212,-0.006318681318681318,-0.3500000000000001,1,1,0.06636556495038615,0.9336344350496139,0.4368204576821917,1.5435835116126013,0.888361013012589,1.359971505459501,0.5230966885452196,0.2796871088588398,0.08880926941943933,1.1456677323011246,In,NA,Sub_train
MD070,0.1463718820861678,0.041627246925260236,0.0034687500000000343,0.1242837837837838,-0.05002801120448176,-0.05608250361857976,-0.006318681318681318,0.1499999999999999,1,1,0.15727342813414724,0.8427265718658528,0.1913550744668256,0.04471963628932955,0.005330035580828406,0.36314274860409707,0.37407078158721674,0.35318758521448446,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD093,-0.13345930964978586,0.18616629874908025,-0.16171874999999994,0.16554054054054054,-0.019607843137254926,-0.06770296193077895,0.11025641025641024,0.0,1,1,0.15608877078969374,0.8439112292103063,0.9066668877322712,0.5330361384104466,0.7192176458401536,0.5633965673195963,0.2532930689331939,0.4430356312866348,0.7302929008419442,0.2180909733684585,In,NA,Sub_train
MD060,-0.1302721088435374,0.4654683065279094,-0.11746875,-0.01449999999999999,-0.08532212885154056,-0.050248914426071316,-0.006318681318681318,0.1499999999999999,1,1,0.10794232094539269,0.8920576790546073,0.8941607176320427,1.6494703881393968,0.5251276880474731,0.31049194455285584,0.5141996194730998,0.30808294506580314,0.08880926941943933,0.17944192331696945,In,NA,Sub_train
MD113,0.07766439909297053,0.3859981078524126,-0.170625,-0.03391891891891892,0.21344537815126052,-0.05716892103904692,-0.006318681318681318,0.0,-1,-1,0.9931506977409296,0.006849302259070416,0.0782443394724835,1.3318097585590105,0.7582823619213078,0.40474832761678403,0.6720021145672408,0.3615876396551296,0.08880926941943933,0.2180909733684585,In,NA,Sub_train
MD136,0.16553287981859405,0.18763796909492286,-0.4625,-0.09358108108108107,-0.384593837535014,-0.0021413444809207783,0.0,0.0,-1,-1,0.9731220589866848,0.026877941013315202,0.2665403895753125,0.5389187426619356,2.0385084959493014,0.6943390939544614,1.7024031940546676,0.06387924822509704,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD057,-0.06208616780045353,0.1676821192052978,0.09366071428571436,0.3407335907335907,0.04281712685074029,-0.06602016957558868,0.0,0.1428571428571428,1,1,0.0580782730141608,0.9419217269858392,0.626607767890953,0.4591506290117484,0.4009312681560435,1.4137561222506503,0.005446144781291741,0.4300244744977264,0.1235793955531022,0.1605117853795682,In,NA,Sub_train
MD073,0.17006802721088432,0.2869757174392937,-0.282265625,-0.08935810810810811,-0.2165266106442577,-0.0024247577210426453,0.0,0.0,1,-1,0.9234584904804604,0.07654150951953967,0.2843357304293924,0.935994529637418,1.2479620047280537,0.6738414462805036,1.0351230136457004,0.061687929675363545,0.1235793955531022,0.2180909733684585,In,NA,Sub_train
MD014,-0.1302721088435374,0.121097445600757,0.0944791666666667,0.3173423423423423,0.04883286647992528,-0.05290591355221383,-0.006318681318681318,0.16666666666666674,1,1,0.01987904112842709,0.9801209588715729,0.8941607176320427,0.2729409932910568,0.40452117523117026,1.3002186757061367,0.01843824897779108,0.3286265564695548,0.08880926941943933,0.22361224517090636,In,NA,Sub_train
MD127,0.441156462585034,0.2999053926206246,0.03947916666666669,0.15518018018018015,-0.021755368814192374,-0.05683827225890475,-0.006318681318681318,0.16666666666666674,-1,-1,0.9832443041613508,0.01675569583864919,1.348052229982013,0.9876774098469258,0.1632794197826404,0.5131090050261526,0.2618194267939752,0.3590311013471072,0.08880926941943933,0.22361224517090636,In,NA,Sub_train
MD120,0.2280045351473923,0.18070009460737946,0.28159375,0.009824324324324351,0.4989915966386556,-0.055775472608447736,-0.6486263736263735,0.1499999999999999,-1,-1,0.9901824814388098,0.009817518561190175,0.5116712098402622,0.5111864654763462,1.225245730746689,0.19242549395085817,1.8057111410820765,0.3508136567856065,3.445649639298116,0.17944192331696945,In,2.4710074573463476,Sub_train
MD020,-0.042970521541950114,0.4720908230842006,-0.04708333333333332,-0.6826576576576577,-0.05032679738562098,-0.0024701656955264588,-0.006318681318681318,0.16666666666666674,1,1,0.00041655333018353335,0.9995834466698165,0.5516004061910065,1.675942107271095,0.21640220669032986,3.553624293487098,0.37525705746349974,0.06133684044343697,0.08880926941943933,0.22361224517090636,In,2.3960728617824705,Sub_train
